          Time             SX              SY              SZ             SXY             SYZ             SXZ              S1             S2             S3            SINT             SEQ            SEPL            SRAT          HPRESS
   2.70980E-02   -6.17212E-10    -3.3248       -6.17550E-10   -1.85129E-13    1.14559E-13   -9.76153E-15     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   2.80980E-02    1.52815E-10    -3.3248        1.52463E-10   -2.00444E-13    1.28226E-13   -1.06092E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   2.90980E-02    6.16618E-13    -3.3248        2.51354E-13   -2.07402E-13    1.33451E-13   -1.11930E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   3.00980E-02    5.99076E-13    -3.3248        1.91624E-13   -2.12791E-13    1.40936E-13   -1.33891E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   3.10980E-02    6.12843E-13    -3.3248        2.05391E-13   -2.13512E-13    1.45791E-13   -9.81787E-15     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   3.20980E-02   -3.64153E-14    -3.3248       -4.57745E-13   -2.17597E-13    1.46742E-13   -1.00500E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   3.30980E-02   -4.08562E-14    -3.3248       -4.48308E-13   -2.13233E-13    1.45304E-13   -1.05088E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   3.40980E-02   -2.35367E-13    -3.3248       -6.56697E-13   -2.11424E-13    1.46108E-13   -9.62867E-15     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   3.50980E-02    1.71418E-13    -3.3248       -2.57239E-13   -2.08982E-13    1.44269E-13   -1.02187E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   3.60980E-02   -1.09679E-12    -3.3248       -1.54654E-12   -2.07300E-13    1.44199E-13   -1.48115E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   3.70980E-02    6.51590E-13    -3.3248        2.44138E-13   -2.04947E-13    1.38170E-13   -1.19934E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   3.80980E-02    1.92468E-12    -3.3248        1.50335E-12   -1.99737E-13    1.34617E-13   -1.18471E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   3.90980E-02    1.46994E-12    -3.3248        1.04861E-12   -1.97346E-13    1.36356E-13   -1.35405E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   4.00980E-02    6.17284E-13    -3.3248        1.95954E-13   -1.93307E-13    1.32770E-13   -8.12793E-15     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   4.10980E-02   -1.13543E-12    -3.3248       -1.58518E-12   -1.89330E-13    1.29702E-13   -1.15776E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   4.20980E-02    1.29785E-13    -3.3248       -2.77778E-13   -1.91376E-13    1.29981E-13   -7.97235E-15     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   4.30980E-02    6.12843E-13    -3.3248        2.05391E-13   -1.90392E-13    1.24791E-13   -1.26666E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   4.40980E-02   -1.11056E-12    -3.3248       -1.51801E-12   -1.86127E-13    1.28992E-13   -1.47029E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   4.50980E-02    5.84421E-13    -3.3248        1.76970E-13   -1.83189E-13    1.28297E-13   -1.13206E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   4.60980E-02    1.58096E-13    -3.3248       -2.49356E-13   -1.82363E-13    1.23033E-13   -1.37760E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   4.70980E-02    1.05249E-12    -3.3248        6.23834E-13   -1.84186E-13    1.26586E-13   -1.24765E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   4.80980E-02    1.46549E-12    -3.3248        1.05804E-12   -1.79461E-13    1.21257E-13   -7.99332E-15     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   4.90980E-02    1.71974E-13    -3.3248       -2.77778E-13   -1.79795E-13    1.21774E-13   -1.26810E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   5.00980E-02    1.03928E-12    -3.3248        6.31717E-13   -1.77634E-13    1.19140E-13   -1.23206E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   5.10980E-02   -6.90670E-13    -3.3248       -1.11922E-12   -1.74949E-13    1.21512E-13   -7.88592E-15     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   5.20980E-02   -2.54907E-13    -3.3248       -6.83564E-13   -1.75492E-13    1.27333E-13   -9.01866E-15     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   5.30980E-02   -1.11300E-12    -3.3248       -1.54166E-12   -1.69886E-13    1.21771E-13   -1.51813E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   5.40980E-02   -2.54352E-13    -3.3248       -7.04103E-13   -1.72006E-13    1.24521E-13   -9.25773E-15     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   5.50980E-02    1.05305E-12    -3.3248        6.03295E-13   -1.72270E-13    1.19835E-13   -1.47478E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   5.60980E-02    1.55986E-13    -3.3248       -2.51577E-13   -1.71255E-13    1.16608E-13   -1.67341E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   5.70980E-02    1.61982E-13    -3.3248       -2.66565E-13   -1.66968E-13    1.15583E-13   -1.09251E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   5.80980E-02    1.90514E-12    -3.3248        1.47649E-12   -1.69997E-13    1.13082E-13   -9.31725E-15     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   5.90980E-02    6.37046E-13    -3.3248        1.87295E-13   -1.68494E-13    1.13155E-13   -1.06023E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   6.00980E-02   -2.60347E-13    -3.3248       -6.89004E-13   -1.63871E-13    1.12606E-13   -4.31048E-15     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   6.10980E-02    1.46994E-12    -3.3248        1.04861E-12   -1.60687E-13    1.15817E-13   -1.19392E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   6.20980E-02   -6.32161E-13    -3.3248       -1.11033E-12   -1.60887E-13    1.11450E-13   -1.06136E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   6.30980E-02   -2.60347E-13    -3.3248       -6.89004E-13   -1.62221E-13    1.15619E-13   -1.86718E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   6.40980E-02   -1.57174E-12    -3.3248       -2.00029E-12   -1.57159E-13    1.13107E-13   -1.40536E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   6.50980E-02    1.46561E-12    -3.3248        1.05804E-12   -1.58457E-13    1.07789E-13   -1.68541E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   6.60980E-02    1.05249E-12    -3.3248        6.23834E-13   -1.54567E-13    1.08912E-13   -1.39981E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   6.70980E-02   -6.81233E-13    -3.3248       -1.10989E-12   -1.54281E-13    1.06096E-13   -1.32275E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   6.80980E-02   -6.81233E-13    -3.3248       -1.10989E-12   -1.58868E-13    1.04158E-13   -1.74814E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   6.90980E-02   -6.80678E-13    -3.3248       -1.13043E-12   -1.47673E-13    1.01627E-13   -1.44300E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   7.00980E-02    1.71418E-13    -3.3248       -2.57239E-13   -1.51926E-13    1.05864E-13   -1.11327E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   7.10980E-02   -2.40419E-12    -3.3248       -2.81164E-12   -1.45285E-13    1.02802E-13   -1.12544E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   7.20980E-02    1.00864E-12    -3.3248        6.01075E-13   -1.47889E-13    9.11238E-14   -1.97111E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   7.30980E-02   -2.42817E-12    -3.3248       -2.83573E-12   -1.40113E-13    9.26514E-14   -1.35731E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   7.40980E-02   -1.57174E-12    -3.3248       -2.00029E-12   -1.44327E-13    9.48994E-14   -1.05426E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   7.50980E-02   -6.51812E-13    -3.3248       -1.12998E-12   -1.42445E-13    1.03624E-13   -1.44365E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   7.60980E-02    1.04305E-12    -3.3248        6.14508E-13   -1.38756E-13    1.00063E-13   -8.74486E-15     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   7.70980E-02    1.03706E-12    -3.3248        6.29496E-13   -1.38609E-13    9.16302E-14   -9.61013E-15     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   7.80980E-02    1.58207E-13    -3.3248       -2.49356E-13   -1.40899E-13    9.53924E-14   -7.81370E-15     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   7.90980E-02   -1.55831E-12    -3.3248       -1.95199E-12   -1.42477E-13    9.43946E-14   -8.96893E-15     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   8.00980E-02   -1.57552E-12    -3.3248       -1.98308E-12   -1.38778E-13    9.13153E-14   -1.81373E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   8.10980E-02   -7.22866E-13    -3.3248       -1.13043E-12   -1.36232E-13    9.39794E-14   -1.12933E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   8.20980E-02    1.05249E-12    -3.3248        6.23834E-13   -1.39262E-13    9.34216E-14   -1.13650E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   8.30980E-02    1.56541E-13    -3.3248       -2.37144E-13   -1.29388E-13    8.94491E-14   -1.26105E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   8.40980E-02   -3.27061E-12    -3.3248       -3.67806E-12   -1.29766E-13    8.43214E-14   -1.46643E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   8.50980E-02    1.01086E-12    -3.3248        6.03295E-13   -1.32418E-13    9.15556E-14   -1.36863E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   8.60980E-02   -6.61693E-13    -3.3248       -1.08302E-12   -1.31852E-13    7.85952E-14   -1.30128E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   8.70980E-02   -1.52300E-12    -3.3248       -1.97276E-12   -1.33854E-13    8.28280E-14   -1.73336E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   8.80980E-02   -6.61693E-13    -3.3248       -1.08302E-12   -1.28056E-13    8.81350E-14   -1.91127E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   8.90980E-02    2.77300E-12    -3.3248        2.36544E-12   -1.28848E-13    9.65739E-14   -1.43572E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   9.00980E-02   -2.40408E-12    -3.3248       -2.85383E-12   -1.24609E-13    9.28160E-14   -7.49416E-15     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   9.10980E-02   -3.31091E-12    -3.3248       -3.70459E-12   -1.26475E-13    8.66398E-14   -1.35334E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   9.20980E-02    1.03928E-12    -3.3248        6.31717E-13   -1.25367E-13    8.11908E-14   -1.05153E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   9.30980E-02    1.58207E-13    -3.3248       -2.49356E-13   -1.19820E-13    8.22231E-14   -8.43698E-15     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   9.40980E-02   -5.02753E-12    -3.3248       -5.45608E-12   -1.13608E-13    8.05417E-14   -1.05943E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   9.50980E-02    1.61982E-13    -3.3248       -2.66565E-13   -1.18899E-13    8.77568E-14   -1.80604E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   9.60980E-02   -1.57552E-12    -3.3248       -1.98308E-12   -1.22543E-13    6.64102E-14   -1.12403E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   9.70980E-02    1.00864E-12    -3.3248        6.01075E-13   -1.20267E-13    7.68297E-14   -1.37208E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   9.80980E-02    1.85296E-13    -3.3248       -2.43361E-13   -1.21093E-13    9.11813E-14   -1.54288E-14     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   9.90490E-02    1.82077E-13    -3.3248       -2.49245E-13   -1.13829E-13    7.83366E-14   -8.35962E-15     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   0.10000       -2.40968E-12    -3.3248       -2.82646E-12   -1.08749E-13    7.05693E-14   -9.48965E-15     0.0000         0.0000        -3.3248         3.3248         3.3248         0.0000         1.0000        -1.1083
   7.88861E-31     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.88861E-31     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.88861E-31     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.88861E-31     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.88861E-31     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.88861E-31     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.88861E-31     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.88861E-31     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.88861E-31     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.88861E-31     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.88861E-31     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.88861E-31     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.88861E-31     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.88861E-31     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.88861E-31     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.88861E-31     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.88861E-31     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.88861E-31     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.88861E-31     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.88861E-31     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.88861E-31     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.88861E-31     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.88861E-31     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.88861E-31     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.88861E-31     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.88861E-31     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.88861E-31     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.88861E-31     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.88861E-31     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.88861E-31     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.88861E-31     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.88861E-31     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.88861E-31     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.88861E-31     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.88861E-31     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.88861E-31     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.88861E-31     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.88861E-31     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.88861E-31     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.88861E-31     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.88861E-31     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.88861E-31     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
