          Time          EPELX           EPELY           EPELZ          EPELXY          EPELYZ          EPELXZ           EPEL1          EPEL2          EPEL3         EPELINT          EPELEQ
   1.00000E-05     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   2.00000E-05     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   3.50000E-05     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   5.75000E-05     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.87500E-05     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   1.00000E-04     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   1.09900E-03    6.39344E-04   -1.00000E-03     0.0000       -2.16840E-19     0.0000         0.0000        6.39344E-04     0.0000       -1.00000E-03    1.63934E-03    9.54080E-04
   2.09800E-03    1.27869E-03   -2.00000E-03     0.0000       -4.33681E-19     0.0000         0.0000        1.27869E-03     0.0000       -2.00000E-03    3.27869E-03    1.90816E-03
   3.09800E-03    1.91867E-03   -3.00100E-03     0.0000        1.30104E-18     0.0000         0.0000        1.91867E-03     0.0000       -3.00100E-03    4.91967E-03    2.86320E-03
   4.09800E-03    2.28159E-03   -3.51351E-03   -5.88439E-05    1.49747E-18     0.0000         0.0000        2.28159E-03   -5.88439E-05   -3.51351E-03    5.79510E-03    3.36635E-03
   5.09800E-03    2.47560E-03   -3.73776E-03   -1.37046E-04    1.21014E-18     0.0000         0.0000        2.47560E-03   -1.37046E-04   -3.73776E-03    6.21336E-03    3.60237E-03
   6.09800E-03    2.66454E-03   -3.96488E-03   -2.03570E-04    2.40704E-18     0.0000         0.0000        2.66454E-03   -2.03570E-04   -3.96488E-03    6.62942E-03    3.83906E-03
   7.09800E-03    2.84894E-03   -4.19493E-03   -2.61385E-04   -8.77516E-19     0.0000         0.0000        2.84894E-03   -2.61385E-04   -4.19493E-03    7.04387E-03    4.07603E-03
   8.09800E-03    3.03022E-03   -4.42719E-03   -3.12648E-04    2.16122E-18     0.0000         0.0000        3.03022E-03   -3.12648E-04   -4.42719E-03    7.45741E-03    4.31321E-03
   9.09800E-03    3.20934E-03   -4.66111E-03   -3.58900E-04   -1.10023E-18     0.0000         0.0000        3.20934E-03   -3.58900E-04   -4.66111E-03    7.87046E-03    4.55059E-03
   1.00980E-02    3.38686E-03   -4.89635E-03   -4.01266E-04    5.37804E-19     0.0000         0.0000        3.38686E-03   -4.01266E-04   -4.89635E-03    8.28321E-03    4.78812E-03
   1.10980E-02    3.56312E-03   -5.13265E-03   -4.40585E-04    3.42104E-18     0.0000         0.0000        3.56312E-03   -4.40585E-04   -5.13265E-03    8.69577E-03    5.02575E-03
   1.20980E-02    3.73837E-03   -5.36983E-03   -4.77491E-04   -6.00454E-18     0.0000         0.0000        3.73837E-03   -4.77491E-04   -5.36983E-03    9.10820E-03    5.26345E-03
   1.30980E-02    3.91284E-03   -5.60771E-03   -5.12470E-04   -3.69158E-18     0.0000         0.0000        3.91284E-03   -5.12470E-04   -5.60771E-03    9.52054E-03    5.50122E-03
   1.40980E-02    4.08667E-03   -5.84616E-03   -5.45894E-04    4.33155E-18     0.0000         0.0000        4.08667E-03   -5.45894E-04   -5.84616E-03    9.93283E-03    5.73904E-03
   1.50980E-02    4.25999E-03   -6.08508E-03   -5.78055E-04    1.89463E-17     0.0000         0.0000        4.25999E-03   -5.78055E-04   -6.08508E-03    1.03451E-02    5.97689E-03
   1.60980E-02    4.43290E-03   -6.32439E-03   -6.09180E-04    2.42552E-17     0.0000         0.0000        4.43290E-03   -6.09180E-04   -6.32439E-03    1.07573E-02    6.21478E-03
