          Time             SX              SY              SZ             SXY             SYZ             SXZ              S1             S2             S3            SINT             SEQ            SEPL            SRAT          HPRESS
   9.09800E-03   -1.39446E-04    -2.2820        -1.0347       -1.59494E-16     0.0000         0.0000       -1.39446E-04    -1.0347        -2.2820         2.2819         1.9790         0.0000         1.0000        -1.1056
   1.00980E-02   -1.11289E-04    -2.4016        -1.0984        7.79622E-17     0.0000         0.0000       -1.11289E-04    -1.0984        -2.4016         2.4015         2.0823         0.0000         1.0000        -1.1667
   1.10980E-02   -8.26071E-05    -2.5212        -1.1609        4.95927E-16     0.0000         0.0000       -8.26071E-05    -1.1609        -2.5212         2.5211         2.1857         0.0000         1.0000        -1.2274
   1.20980E-02   -6.30987E-05    -2.6408        -1.2224       -8.70442E-16     0.0000         0.0000       -6.30987E-05    -1.2224        -2.6408         2.6407         2.2890         0.0000         1.0000        -1.2877
   1.30980E-02   -5.01038E-05    -2.7603        -1.2831       -5.35146E-16     0.0000         0.0000       -5.01038E-05    -1.2831        -2.7603         2.7603         2.3924         0.0000         1.0000        -1.3478
   1.40980E-02   -4.04159E-05    -2.8798        -1.3432        6.27918E-16     0.0000         0.0000       -4.04159E-05    -1.3432        -2.8798         2.8798         2.4959         0.0000         1.0000        -1.4077
   1.50980E-02   -3.27570E-05    -2.9994        -1.4027        2.74653E-15     0.0000         0.0000       -3.27570E-05    -1.4027        -2.9994         2.9993         2.5993         0.0000         1.0000        -1.4674
   1.60980E-02   -2.66986E-05    -3.1189        -1.4619        3.51613E-15     0.0000         0.0000       -2.66986E-05    -1.4619        -3.1189         3.1188         2.7028         0.0000         1.0000        -1.5269
   1.70980E-02   -1.98076E-03    -3.1214        -1.4779        4.20693E-16     0.0000         0.0000       -1.98076E-03    -1.4779        -3.1214         3.1194         2.7028         0.0000         1.0000        -1.5338
   1.80980E-02   -8.74750E-04    -3.1207        -1.4895       -2.19076E-15     0.0000         0.0000       -8.74750E-04    -1.4895        -3.1207         3.1198         2.7028         0.0000         1.0000        -1.5370
   1.90980E-02   -8.82806E-05    -3.1202        -1.4994        2.81876E-15     0.0000         0.0000       -8.82806E-05    -1.4994        -3.1202         3.1201         2.7028         0.0000         1.0000        -1.5399
   2.00980E-02    1.95493E-05    -3.1203        -1.5083       -1.67783E-16     0.0000         0.0000        1.95493E-05    -1.5083        -3.1203         3.1203         2.7028         0.0000         1.0000        -1.5429
   2.10980E-02   -6.85393E-05    -3.1205        -1.5161        1.55539E-15     0.0000         0.0000       -6.85393E-05    -1.5161        -3.1205         3.1205         2.7028         0.0000         1.0000        -1.5456
   2.20980E-02   -1.07317E-04    -3.1207        -1.5226       -2.93015E-15     0.0000         0.0000       -1.07317E-04    -1.5226        -3.1207         3.1206         2.7028         0.0000         1.0000        -1.5478
   2.30980E-02   -9.37648E-05    -3.1207        -1.5282       -2.47127E-15     0.0000         0.0000       -9.37648E-05    -1.5282        -3.1207         3.1207         2.7028         0.0000         1.0000        -1.5497
   2.40980E-02   -7.15784E-05    -3.1208        -1.5329       -8.11678E-16     0.0000         0.0000       -7.15784E-05    -1.5329        -3.1208         3.1207         2.7028         0.0000         1.0000        -1.5513
   2.50980E-02   -5.73603E-05    -3.1208        -1.5370        3.55698E-15     0.0000         0.0000       -5.73603E-05    -1.5370        -3.1208         3.1208         2.7028         0.0000         1.0000        -1.5526
   2.60980E-02   -4.90018E-05    -3.1208        -1.5404       -3.78657E-15     0.0000         0.0000       -4.90018E-05    -1.5404        -3.1208         3.1208         2.7028         0.0000         1.0000        -1.5538
   2.70980E-02   -4.24376E-05    -3.1209        -1.5434        1.99847E-16     0.0000         0.0000       -4.24376E-05    -1.5434        -3.1209         3.1208         2.7028         0.0000         1.0000        -1.5548
   2.80980E-02   -3.63691E-05    -3.1209        -1.5459       -4.07268E-15     0.0000         0.0000       -3.63691E-05    -1.5459        -3.1209         3.1208         2.7028         0.0000         1.0000        -1.5556
   2.90980E-02   -3.09256E-05    -3.1209        -1.5480       -3.43432E-15     0.0000         0.0000       -3.09256E-05    -1.5480        -3.1209         3.1208         2.7028         0.0000         1.0000        -1.5563
   3.00980E-02   -2.62804E-05    -3.1209        -1.5499       -3.51341E-16     0.0000         0.0000       -2.62804E-05    -1.5499        -3.1209         3.1209         2.7028         0.0000         1.0000        -1.5569
   3.10980E-02   -2.23752E-05    -3.1209        -1.5514        9.76042E-16     0.0000         0.0000       -2.23752E-05    -1.5514        -3.1209         3.1209         2.7028         0.0000         1.0000        -1.5574
   3.20980E-02   -1.90718E-05    -3.1209        -1.5527       -4.26615E-15     0.0000         0.0000       -1.90718E-05    -1.5527        -3.1209         3.1209         2.7028         0.0000         1.0000        -1.5579
   3.30980E-02   -1.62582E-05    -3.1209        -1.5539        1.49182E-15     0.0000         0.0000       -1.62582E-05    -1.5539        -3.1209         3.1209         2.7028         0.0000         1.0000        -1.5583
   3.40980E-02   -1.38578E-05    -3.1209        -1.5548       -1.28662E-15     0.0000         0.0000       -1.38578E-05    -1.5548        -3.1209         3.1209         2.7028         0.0000         1.0000        -1.5586
   3.50980E-02   -1.18117E-05    -3.1209        -1.5557       -3.62942E-15     0.0000         0.0000       -1.18117E-05    -1.5557        -3.1209         3.1209         2.7028         0.0000         1.0000        -1.5589
   3.60980E-02   -1.00688E-05    -3.1209        -1.5564       -1.36401E-15     0.0000         0.0000       -1.00688E-05    -1.5564        -3.1209         3.1209         2.7028         0.0000         1.0000        -1.5591
   3.70980E-02   -8.58404E-06    -3.1209        -1.5570        5.46204E-16     0.0000         0.0000       -8.58404E-06    -1.5570        -3.1209         3.1209         2.7028         0.0000         1.0000        -1.5593
   3.80980E-02   -7.31877E-06    -3.1209        -1.5575       -3.87607E-16     0.0000         0.0000       -7.31877E-06    -1.5575        -3.1209         3.1209         2.7028         0.0000         1.0000        -1.5595
   3.90980E-02   -6.24033E-06    -3.1209        -1.5579        3.06582E-15     0.0000         0.0000       -6.24033E-06    -1.5579        -3.1209         3.1209         2.7028         0.0000         1.0000        -1.5596
   4.00980E-02   -5.32102E-06    -3.1209        -1.5583        8.88763E-16     0.0000         0.0000       -5.32102E-06    -1.5583        -3.1209         3.1209         2.7028         0.0000         1.0000        -1.5597
   4.10980E-02   -4.53733E-06    -3.1209        -1.5586       -9.46919E-16     0.0000         0.0000       -4.53733E-06    -1.5586        -3.1209         3.1209         2.7028         0.0000         1.0000        -1.5598
   4.20980E-02   -3.86919E-06    -3.1209        -1.5589       -2.49475E-15     0.0000         0.0000       -3.86919E-06    -1.5589        -3.1209         3.1209         2.7028         0.0000         1.0000        -1.5599
   4.30980E-02   -3.29955E-06    -3.1209        -1.5591       -2.10354E-15     0.0000         0.0000       -3.29955E-06    -1.5591        -3.1209         3.1209         2.7028         0.0000         1.0000        -1.5600
   4.40980E-02   -2.81384E-06    -3.1209        -1.5593       -9.25528E-16     0.0000         0.0000       -2.81384E-06    -1.5593        -3.1209         3.1209         2.7028         0.0000         1.0000        -1.5601
   4.50980E-02   -2.39968E-06    -3.1209        -1.5595       -5.02116E-15     0.0000         0.0000       -2.39968E-06    -1.5595        -3.1209         3.1209         2.7028         0.0000         1.0000        -1.5601
   4.60980E-02   -2.04652E-06    -3.1209        -1.5596       -3.38562E-15     0.0000         0.0000       -2.04652E-06    -1.5596        -3.1209         3.1209         2.7028         0.0000         1.0000        -1.5602
   4.70980E-02   -1.74536E-06    -3.1209        -1.5597       -2.85470E-15     0.0000         0.0000       -1.74536E-06    -1.5597        -3.1209         3.1209         2.7028         0.0000         1.0000        -1.5602
   4.80980E-02   -1.48854E-06    -3.1209        -1.5598        4.37817E-15     0.0000         0.0000       -1.48854E-06    -1.5598        -3.1209         3.1209         2.7028         0.0000         1.0000        -1.5602
