          Time             SX              SY              SZ             SXY             SYZ             SXZ              S1             S2             S3            SINT             SEQ            SEPL            SRAT          HPRESS
   1.00000E-05     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   2.00000E-05     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   3.50000E-05     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   5.75000E-05     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.87500E-05     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   1.00000E-04     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   1.09900E-03   -5.55112E-17   -0.40300         0.0000        4.71511E-17   -7.85852E-18   -1.57170E-17     0.0000         0.0000       -0.40300        0.40300        0.40300         0.0000         0.0000       -0.13433
   2.09800E-03    1.11022E-16   -0.80600        1.11022E-16     0.0000       -4.71511E-17    1.57170E-17     0.0000         0.0000       -0.80600        0.80600        0.80600         0.0000         0.0000       -0.26867
   3.09800E-03   -1.11022E-16    -1.2094       -2.22045E-16    3.14341E-17    1.57170E-17    6.28681E-17     0.0000         0.0000        -1.2094         1.2094         1.2094         0.0000         0.0000       -0.40313
   4.09800E-03   -3.19530E-03    -1.4519       -3.19530E-03     0.0000       -1.40112E-17    4.20336E-17   -3.19530E-03   -3.19530E-03    -1.4519         1.4487         1.4487         0.0000         1.0000       -0.48608
   5.09800E-03   -3.22911E-03    -1.5445       -3.22911E-03    5.16310E-17   -1.01861E-16    9.90592E-17   -3.22911E-03   -3.22911E-03    -1.5445         1.5412         1.5412         0.0000         1.0000       -0.51697
   6.09800E-03   -1.87534E-04    -1.6341       -1.87534E-04   -9.32050E-18   -8.44872E-17    8.21633E-17   -1.87534E-04   -1.87534E-04    -1.6341         1.6339         1.6339         0.0000         1.0000       -0.54483
   7.09800E-03    1.64034E-04    -1.7263        1.64034E-04   -7.80397E-18    3.45375E-17   -1.94400E-16    1.64034E-04    1.64034E-04    -1.7263         1.7265         1.7265         0.0000         1.0000       -0.57534
