          Time          EPELX           EPELY           EPELZ          EPELXY          EPELYZ          EPELXZ           EPEL1          EPEL2          EPEL3         EPELINT          EPELEQ
   2.80980E-02    2.56654E-03   -6.58088E-03    2.56654E-03   -1.73569E-18   -9.43648E-18    2.95808E-18    2.56654E-03    2.56654E-03   -6.58088E-03    9.14743E-03    6.09828E-03
   2.90980E-02    2.56654E-03   -6.58088E-03    2.56654E-03    4.46955E-18   -2.14542E-18    6.26631E-18    2.56654E-03    2.56654E-03   -6.58088E-03    9.14743E-03    6.09828E-03
   3.00980E-02    2.56654E-03   -6.58088E-03    2.56654E-03   -6.31037E-19    1.08232E-17   -2.81294E-18    2.56654E-03    2.56654E-03   -6.58088E-03    9.14743E-03    6.09828E-03
   3.10980E-02    2.56654E-03   -6.58088E-03    2.56654E-03   -5.42060E-19    1.10139E-18   -1.81123E-19    2.56654E-03    2.56654E-03   -6.58088E-03    9.14743E-03    6.09828E-03
   3.20980E-02    2.56654E-03   -6.58088E-03    2.56654E-03   -4.65630E-19    5.41648E-18   -3.13584E-18    2.56654E-03    2.56654E-03   -6.58088E-03    9.14743E-03    6.09828E-03
   3.30980E-02    2.56654E-03   -6.58088E-03    2.56654E-03   -3.99976E-19    3.16263E-18    1.77670E-18    2.56654E-03    2.56654E-03   -6.58088E-03    9.14743E-03    6.09828E-03
   3.40980E-02    2.56654E-03   -6.58088E-03    2.56654E-03    2.63668E-18   -3.24381E-18   -1.45407E-18    2.56654E-03    2.56654E-03   -6.58088E-03    9.14743E-03    6.09828E-03
   3.50980E-02    2.56654E-03   -6.58088E-03    2.56654E-03    2.26490E-18   -4.27656E-18   -1.24905E-18    2.56654E-03    2.56654E-03   -6.58088E-03    9.14743E-03    6.09828E-03
   3.60980E-02    2.56654E-03   -6.58088E-03    2.56654E-03   -1.03470E-18    9.73758E-18    4.17195E-19    2.56654E-03    2.56654E-03   -6.58088E-03    9.14743E-03    6.09828E-03
   3.70980E-02    2.56654E-03   -6.58088E-03    2.56654E-03    2.09144E-18    3.89420E-18    4.82875E-18    2.56654E-03    2.56654E-03   -6.58088E-03    9.14743E-03    6.09828E-03
   3.80980E-02    2.56654E-03   -6.58088E-03    2.56654E-03   -1.18370E-18    3.64860E-19   -3.22484E-19    2.56654E-03    2.56654E-03   -6.58088E-03    9.14743E-03    6.09828E-03
   3.90980E-02    2.56654E-03   -6.58088E-03    2.56654E-03   -3.99706E-18    3.13414E-19   -3.25727E-18    2.56654E-03    2.56654E-03   -6.58088E-03    9.14743E-03    6.09828E-03
   4.00980E-02    2.56654E-03   -6.58088E-03    2.56654E-03   -4.53215E-19   -1.22090E-18   -1.30787E-18    2.56654E-03    2.56654E-03   -6.58088E-03    9.14743E-03    6.09828E-03
   4.10980E-02    2.56654E-03   -6.58088E-03    2.56654E-03   -3.89312E-19    4.91175E-18    1.85680E-18    2.56654E-03    2.56654E-03   -6.58088E-03    9.14743E-03    6.09828E-03
   4.20980E-02    2.56654E-03   -6.58088E-03    2.56654E-03   -3.34419E-19    1.16698E-17    7.55550E-18    2.56654E-03    2.56654E-03   -6.58088E-03    9.14743E-03    6.09828E-03
   4.30980E-02    2.56654E-03   -6.58088E-03    2.56654E-03    2.69299E-18    2.57374E-18   -1.43716E-17    2.56654E-03    2.56654E-03   -6.58088E-03    9.14743E-03    6.09828E-03
   4.40980E-02    2.56654E-03   -6.58088E-03    2.56654E-03    2.31328E-18   -1.26904E-17   -7.87483E-18    2.56654E-03    2.56654E-03   -6.58088E-03    9.14743E-03    6.09828E-03
   4.50980E-02    2.56654E-03   -6.58088E-03    2.56654E-03    7.94761E-18    8.47058E-18    2.17629E-18    2.56654E-03    2.56654E-03   -6.58088E-03    9.14743E-03    6.09828E-03
   4.60980E-02    2.56654E-03   -6.58088E-03    2.56654E-03    3.84674E-18   -1.50757E-17    4.84968E-18    2.56654E-03    2.56654E-03   -6.58088E-03    9.14743E-03    6.09828E-03
   4.70980E-02    2.56654E-03   -6.58088E-03    2.56654E-03    3.24097E-19    4.61139E-19   -6.26501E-18    2.56654E-03    2.56654E-03   -6.58088E-03    9.14743E-03    6.09828E-03
   4.80980E-02    2.56654E-03   -6.58088E-03    2.56654E-03    2.78399E-19   -4.07426E-18   -5.38164E-18    2.56654E-03    2.56654E-03   -6.58088E-03    9.14743E-03    6.09828E-03
   4.90980E-02    2.56654E-03   -6.58088E-03    2.56654E-03   -5.72136E-18    6.93110E-18    1.33768E-18    2.56654E-03    2.56654E-03   -6.58088E-03    9.14743E-03    6.09828E-03
   5.00980E-02    2.56654E-03   -6.58088E-03    2.56654E-03    4.02611E-18    4.46368E-18    5.61945E-18    2.56654E-03    2.56654E-03   -6.58088E-03    9.14743E-03    6.09828E-03
   5.10980E-02    2.56654E-03   -6.58088E-03    2.56654E-03    4.78176E-19    8.54050E-19   -4.11366E-18    2.56654E-03    2.56654E-03   -6.58088E-03    9.14743E-03    6.09828E-03
   5.20980E-02    2.56654E-03   -6.58088E-03    2.56654E-03    3.39101E-18    6.69414E-18   -3.53363E-18    2.56654E-03    2.56654E-03   -6.58088E-03    9.14743E-03    6.09828E-03
   5.30980E-02    2.56654E-03   -6.58088E-03    2.56654E-03   -9.00814E-18    1.76713E-17    5.90537E-18    2.56654E-03    2.56654E-03   -6.58088E-03    9.14743E-03    6.09828E-03
   5.40980E-02    2.56654E-03   -6.58088E-03    2.56654E-03    1.20277E-18    1.76848E-18   -3.86805E-18    2.56654E-03    2.56654E-03   -6.58088E-03    9.14743E-03    6.09828E-03
   5.50980E-02    2.56654E-03   -6.58088E-03    2.56654E-03    4.01343E-18   -2.95126E-18    7.10824E-18    2.56654E-03    2.56654E-03   -6.58088E-03    9.14743E-03    6.09828E-03
   5.60980E-02    2.56654E-03   -6.58088E-03    2.56654E-03    6.42779E-18    4.45125E-19    4.61585E-18    2.56654E-03    2.56654E-03   -6.58088E-03    9.14743E-03    6.09828E-03
   5.70980E-02    2.56654E-03   -6.58088E-03    2.56654E-03   -3.41929E-18    6.34287E-18   -1.99550E-18    2.56654E-03    2.56654E-03   -6.58088E-03    9.14743E-03    6.09828E-03
   5.80980E-02    2.52291E-03   -6.47130E-03    2.52291E-03    4.23187E-20   -6.35742E-18   -3.14729E-18    2.52291E-03    2.52291E-03   -6.47130E-03    8.99421E-03    5.99614E-03
   5.90980E-02    2.48041E-03   -6.36039E-03    2.48041E-03    3.56022E-20   -9.72661E-18   -1.18837E-18    2.48041E-03    2.48041E-03   -6.36039E-03    8.84080E-03    5.89387E-03
   6.00980E-02    2.43752E-03   -6.24993E-03    2.43752E-03    2.98699E-20   -1.54376E-17    3.36922E-18    2.43752E-03    2.43752E-03   -6.24993E-03    8.68746E-03    5.79164E-03
   6.10980E-02    2.39449E-03   -6.13965E-03    2.39449E-03    5.83002E-18   -1.58175E-17   -7.34014E-18    2.39449E-03    2.39449E-03   -6.13965E-03    8.53414E-03    5.68943E-03
   6.20980E-02    2.35145E-03   -6.02937E-03    2.35145E-03    1.96895E-18    4.16978E-18    1.11225E-18    2.35145E-03    2.35145E-03   -6.02937E-03    8.38082E-03    5.58721E-03
   6.30980E-02    2.30843E-03   -5.91907E-03    2.30843E-03    1.63724E-18   -2.30259E-18   -6.28748E-18    2.30843E-03    2.30843E-03   -5.91907E-03    8.22750E-03    5.48500E-03
   6.40980E-02    2.26542E-03   -5.80876E-03    2.26542E-03    1.35706E-18    1.24701E-17   -5.21153E-18    2.26542E-03    2.26542E-03   -5.80876E-03    8.07418E-03    5.38279E-03
